ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-05-10,28,0.0123,0.0071262117,0.08903119,-0.06791904
2020-05-11,28,-0.00768,0.0061904276,0.08433188,-0.0772432
2020-05-12,28,-0.00825,0.0076756445,0.087170854,-0.062463574
2020-05-13,28,-0.0144,0.0074874703,0.08035055,-0.072125584
2020-05-14,28,-0.00982,0.008916155,0.08406001,-0.06336155
2020-05-15,28,-0.0387,0.009080994,0.08569215,-0.07106707
2020-05-16,28,-0.0601,0.010699948,0.087182246,-0.06808935
2020-05-17,28,-0.0464,0.012477688,0.09220583,-0.07053515
2020-05-18,28,-0.0349,0.011541903,0.0916932,-0.06857577
2020-05-19,28,-0.0341,0.01302712,0.09023607,-0.06592235
2020-05-20,28,-0.029,0.012838947,0.08988791,-0.06379917
2020-05-21,28,-0.0192,0.014267631,0.08869114,-0.066486865
2020-05-22,28,0.0225,0.014432469,0.09670443,-0.056872465
2020-05-23,28,0.0271,0.016051425,0.08792448,-0.067779966
2020-05-24,28,0.022,0.017829163,0.09382515,-0.054028843
2020-05-25,28,0.00253,0.01689338,0.09144801,-0.06008301
2020-05-26,28,0.00521,0.018378597,0.096892975,-0.056063518
2020-05-27,28,0.0541,0.018190423,0.09392882,-0.061915338
2020-05-28,28,0.00488,0.019619107,0.09277619,-0.060088083
2020-05-29,28,0.0237,0.019783946,0.099215396,-0.05965947
2020-05-30,28,0.0285,0.0214029,0.094490305,-0.054315895
2020-05-31,28,0.0135,0.02318064,0.1027642,-0.052967805
2020-06-01,28,0.045,0.022244856,0.09814706,-0.0500264
2020-06-02,28,0.0718,0.023730073,0.10494214,-0.053081427
2020-06-03,28,0.0678,0.023541898,0.10215855,-0.049981646
2020-06-04,28,0.0765,0.024970584,0.0996251,-0.04831306
2020-06-05,28,0.0795,0.025135422,0.09868474,-0.052596614
2020-06-06,28,0.0937,0.026754376,0.10963044,-0.047811013
2020-06-07,28,0.121,0.028532116,0.11125338,-0.047155187
2020-06-08,28,0.0995,0.027596332,0.1115627,-0.047626205
2020-06-09,28,0.0745,0.029081548,0.100814395,-0.050887704
2020-06-10,28,0.0779,0.028893374,0.106183104,-0.052946344
2020-06-11,28,0.0692,0.030322058,0.10589169,-0.047660246
2020-06-12,28,0.0636,0.030486897,0.108161226,-0.047814682
2020-06-13,28,0.0465,0.032105852,0.10891247,-0.046776265
2020-06-14,28,0.0312,0.03388359,0.11234266,-0.045638863
2020-06-15,28,0.0334,0.03294781,0.111626655,-0.03797011
2020-06-16,28,0.0502,0.034433026,0.11003323,-0.04317066
2020-06-17,28,0.0594,0.03424485,0.11294937,-0.04834133
2020-06-18,28,0.0648,0.035673536,0.1102638,-0.04153608
2020-06-19,28,0.0647,0.035838373,0.114227116,-0.03851114
2020-06-20,28,0.0825,0.03745733,0.11872681,-0.038603354
2020-06-21,28,0.0891,0.039235067,0.11771163,-0.03910292
2020-06-22,28,0.0961,0.038299285,0.11722389,-0.034112845
2020-06-23,28,0.0714,0.0397845,0.114952296,-0.042273298
2020-06-24,28,0.0556,0.039596327,0.12251705,-0.039297253
2020-06-25,28,0.0319,0.04102501,0.1170911,-0.035565756
2020-06-26,28,-0.0284,0.04118985,0.11632547,-0.03608318
2020-06-27,28,-0.0455,0.042808805,0.12241883,-0.034468077
2020-06-28,28,-0.0495,0.044586543,0.12577093,-0.032306135
2020-06-29,28,-0.0391,0.043650758,0.12808035,-0.03197933
2020-06-30,28,-0.00275,0.045135975,0.120897256,-0.03129123
2020-07-01,28,0.0242,0.044947803,0.12138811,-0.03712171
2020-07-02,28,0.0654,0.046376485,0.12506355,-0.036236916
2020-07-03,28,0.0846,0.046541326,0.124849804,-0.028206201
2020-07-04,28,0.107,0.04816028,0.13459168,-0.031484846
2020-07-05,28,0.114,0.04993802,0.13134393,-0.026462784
2020-07-06,28,0.118,0.049002234,0.12431884,-0.030222187
2020-07-07,28,0.0986,0.05048745,0.12269865,-0.028578497
